Bytes Used	Count		Symbol Name
  20.62 MB       3.5%	2	 	                                                             _malloc_type_malloc_outlined
  22.23 MB       3.8%	108	 	                                     [J]forge.assets.FSkinImage.load(Lcom/badlogic/gdx/graphics/Pixmap;)V
  22.23 MB       3.8%	108	 	                                      [J]forge.assets.FSkinImageImpl.load(Lcom/badlogic/gdx/graphics/Pixmap;)V
  22.23 MB       3.8%	108	 	                                       [J]forge.assets.Assets.getTexture(Lcom/badlogic/gdx/files/FileHandle;ZZ)Lcom/badlogic/gdx/graphics/Texture;
  22.23 MB       3.8%	108	 	                                        [J]forge.assets.Assets$MemoryTrackingAssetManager.finishLoadingAsset(Ljava/lang/String;)Ljava/lang/Object;
  22.23 MB       3.8%	108	 	                                         [J]com.badlogic.gdx.assets.AssetManager.finishLoadingAsset(Ljava/lang/String;)Ljava/lang/Object;
  22.23 MB       3.8%	108	 	                                          [j]com.badlogic.gdx.assets.AssetManager.update()Z[synchronized]
  22.23 MB       3.8%	108	 	                                           [J]com.badlogic.gdx.assets.AssetManager.update()Z
  22.23 MB       3.8%	108	 	                                            [J]com.badlogic.gdx.assets.AssetManager.updateTask()Z
  22.23 MB       3.8%	108	 	                                             [J]com.badlogic.gdx.assets.AssetLoadingTask.update()Z
  22.23 MB       3.8%	108	 	                                              [J]com.badlogic.gdx.assets.AssetLoadingTask.handleAsyncLoader()V
  22.23 MB       3.8%	108	 	                                               [J]com.badlogic.gdx.assets.loaders.TextureLoader.loadSync(Lcom/badlogic/gdx/assets/AssetManager;Ljava/lang/String;Lcom/badlogic/gdx/files/FileHandle;Lcom/badlogic/gdx/assets/AssetLoaderParameters;)Ljava/lang/Object;
  22.23 MB       3.8%	108	 	                                                [J]com.badlogic.gdx.assets.loaders.TextureLoader.loadSync(Lcom/badlogic/gdx/assets/AssetManager;Ljava/lang/String;Lcom/badlogic/gdx/files/FileHandle;Lcom/badlogic/gdx/assets/loaders/TextureLoader$TextureParameter;)Lcom/badlogic/gdx/graphics/Texture;
  22.23 MB       3.8%	108	 	                                                 [J]com.badlogic.gdx.graphics.Texture.<init>(Lcom/badlogic/gdx/graphics/TextureData;)V
  22.23 MB       3.8%	108	 	                                                  [J]com.badlogic.gdx.graphics.Texture.<init>(IILcom/badlogic/gdx/graphics/TextureData;)V
  22.23 MB       3.8%	108	 	                                                   [J]com.badlogic.gdx.graphics.Texture.load(Lcom/badlogic/gdx/graphics/TextureData;)V
  22.22 MB       3.8%	72	 	                                                    [j]com.badlogic.gdx.graphics.GLTexture.uploadImageData(ILcom/badlogic/gdx/graphics/TextureData;)V[clinit]
  22.22 MB       3.8%	72	 	                                                     [J]com.badlogic.gdx.graphics.GLTexture.uploadImageData(ILcom/badlogic/gdx/graphics/TextureData;)V
  22.22 MB       3.8%	72	 	                                                      [J]com.badlogic.gdx.graphics.GLTexture.uploadImageData(ILcom/badlogic/gdx/graphics/TextureData;I)V
  22.22 MB       3.8%	72	 	                                                       [J]com.badlogic.gdx.backends.iosrobovm.IOSGLES20.glTexImage2D(IIIIIIIILjava/nio/Buffer;)V
  22.22 MB       3.8%	72	 	                                                        [J]com.badlogic.gdx.backends.iosrobovm.IOSGLES20.glTexImage2DJNI(IIIIIIIILjava/nio/Buffer;)V
  22.22 MB       3.8%	72	 	                                                         Java_com_badlogic_gdx_backends_iosrobovm_IOSGLES20_glTexImage2DJNI
  22.22 MB       3.8%	72	 	                                                          Java_com_badlogic_gdx_backends_iosrobovm_IOSGLES20_glTexImage2DJNI__IIIIIIIILjava_nio_Buffer_2
  22.22 MB       3.8%	72	 	                                                           glTexImage2D
  22.22 MB       3.8%	72	 	                                                            glTexImage2D_Exec
  22.22 MB       3.8%	72	 	                                                             gldModifyTexSubImage
  22.22 MB       3.8%	72	 	                                                              GLDTextureRec::load()
  22.22 MB       3.8%	72	 	                                                               GLDTextureRec::update(unsigned int, unsigned short*)
  22.21 MB       3.8%	54	 	                                                                GLDTextureRec::loadPrivateTexture(unsigned int, unsigned short*)
  22.21 MB       3.8%	54	 	                                                                 GLDTextureRec::allocMetalTexture()
  22.21 MB       3.8%	36	 	                                                                  -[AGXTexture initWithDevice:desc:isSuballocDisabled:]
  22.19 MB       3.8%	18	 	                                                                   -[IOGPUMetalTexture initWithDevice:descriptor:sysMemSize:sysMemRowBytes:vidMemSize:vidMemRowBytes:args:argsSize:]
  22.19 MB       3.8%	18	 	                                                                    -[IOGPUMetalResource initWithDevice:options:args:argsSize:]
  22.19 MB       3.8%	18	 	                                                                     IOGPUResourceCreate
  11.27 MB       1.9%	48	 	                                     [J]forge.assets.FSkinImageImpl.load(Lcom/badlogic/gdx/graphics/Pixmap;)V
  11.27 MB       1.9%	48	 	                                      [J]forge.assets.Assets.getTexture(Lcom/badlogic/gdx/files/FileHandle;ZZ)Lcom/badlogic/gdx/graphics/Texture;
  11.27 MB       1.9%	48	 	                                       [J]forge.assets.Assets$MemoryTrackingAssetManager.finishLoadingAsset(Ljava/lang/String;)Ljava/lang/Object;
  11.27 MB       1.9%	48	 	                                        [J]com.badlogic.gdx.assets.AssetManager.finishLoadingAsset(Ljava/lang/String;)Ljava/lang/Object;
  11.27 MB       1.9%	48	 	                                         [j]com.badlogic.gdx.assets.AssetManager.update()Z[synchronized]
  11.27 MB       1.9%	48	 	                                          [J]com.badlogic.gdx.assets.AssetManager.update()Z
  11.27 MB       1.9%	48	 	                                           [J]com.badlogic.gdx.assets.AssetManager.updateTask()Z
  11.27 MB       1.9%	48	 	                                            [J]com.badlogic.gdx.assets.AssetLoadingTask.update()Z
  11.27 MB       1.9%	48	 	                                             [J]com.badlogic.gdx.assets.AssetLoadingTask.handleAsyncLoader()V
  11.27 MB       1.9%	48	 	                                              [J]com.badlogic.gdx.assets.loaders.TextureLoader.loadSync(Lcom/badlogic/gdx/assets/AssetManager;Ljava/lang/String;Lcom/badlogic/gdx/files/FileHandle;Lcom/badlogic/gdx/assets/AssetLoaderParameters;)Ljava/lang/Object;
  11.27 MB       1.9%	48	 	                                               [J]com.badlogic.gdx.assets.loaders.TextureLoader.loadSync(Lcom/badlogic/gdx/assets/AssetManager;Ljava/lang/String;Lcom/badlogic/gdx/files/FileHandle;Lcom/badlogic/gdx/assets/loaders/TextureLoader$TextureParameter;)Lcom/badlogic/gdx/graphics/Texture;
  11.27 MB       1.9%	48	 	                                                [J]com.badlogic.gdx.graphics.Texture.<init>(Lcom/badlogic/gdx/graphics/TextureData;)V
  11.27 MB       1.9%	48	 	                                                 [J]com.badlogic.gdx.graphics.Texture.<init>(IILcom/badlogic/gdx/graphics/TextureData;)V
  11.27 MB       1.9%	48	 	                                                  [J]com.badlogic.gdx.graphics.Texture.load(Lcom/badlogic/gdx/graphics/TextureData;)V
  11.26 MB       1.9%	32	 	                                                   [j]com.badlogic.gdx.graphics.GLTexture.uploadImageData(ILcom/badlogic/gdx/graphics/TextureData;)V[clinit]
