Bytes Used	Count		Symbol Name
  49.22 MB       7.9%	90	 	                                        [j]java.util.concurrent.CompletableFuture.supplyAsync(Ljava/util/function/Supplier;Ljava/util/concurrent/Executor;)Ljava/util/concurrent/CompletableFuture;[clinit]
  49.22 MB       7.9%	90	 	                                         [J]java.util.concurrent.CompletableFuture.supplyAsync(Ljava/util/function/Supplier;Ljava/util/concurrent/Executor;)Ljava/util/concurrent/CompletableFuture;
  49.22 MB       7.9%	90	 	                                          [J]java.util.concurrent.CompletableFuture.asyncSupplyStage(Ljava/util/concurrent/Executor;Ljava/util/function/Supplier;)Ljava/util/concurrent/CompletableFuture;
  49.22 MB       7.9%	90	 	                                           [J]java.util.concurrent.ThreadPoolExecutor.execute(Ljava/lang/Runnable;)V
  49.22 MB       7.9%	90	 	                                            [J]java.util.concurrent.ThreadPoolExecutor.addWorker(Ljava/lang/Runnable;Z)Z
  49.22 MB       7.9%	90	 	                                             [j]java.lang.Thread.start()V[synchronized]
  49.22 MB       7.9%	90	 	                                              [J]java.lang.Thread.start()V
  49.22 MB       7.9%	90	 	                                               [J]java.lang.Thread.internalStart(Ljava/lang/Thread;)V
  49.22 MB       7.9%	90	 	                                                rvmStartThread
  49.22 MB       7.9%	90	 	                                                 GC_pthread_create
  49.22 MB       7.9%	90	 	                                                  _pthread_create
  55.93 MB       9.0%	8493	 	                          -[GLKView _display:]
  52.01 MB       8.3%	8462	 	                           0x10511232c
  52.01 MB       8.3%	8462	 	                            0x1051121f0
  52.01 MB       8.3%	8462	 	                             [J]com.badlogic.gdx.backends.iosrobovm.IOSGraphics$1.$cb$drawRect$(Lcom/badlogic/gdx/backends/iosrobovm/IOSGraphics$1;Lorg/robovm/objc/Selector;Lorg/robovm/apple/coregraphics/CGRect;)V
  52.01 MB       8.3%	8462	 	                              [J]com.badlogic.gdx.backends.iosrobovm.IOSGraphics$1.draw(Lorg/robovm/apple/coregraphics/CGRect;)V
  52.01 MB       8.3%	8462	 	                               [J]com.badlogic.gdx.backends.iosrobovm.IOSGraphics.draw(Lorg/robovm/apple/glkit/GLKView;Lorg/robovm/apple/coregraphics/CGRect;)V
  49.82 MB       8.0%	8458	 	                                [J]forge.Forge.render()V
  35.20 MB       5.6%	2464	 	                                 [J]forge.screens.FScreen.draw(Lforge/Graphics;)V
  35.20 MB       5.6%	2464	 	                                  [J]forge.toolbox.FContainer.draw(Lforge/Graphics;)V
  35.12 MB       5.6%	2456	 	                                   [J]forge.Graphics.draw(Lforge/toolbox/FDisplayObject;)V
  35.09 MB       5.6%	2442	 	                                    [J]forge.toolbox.FContainer.draw(Lforge/Graphics;)V
  35.09 MB       5.6%	2442	 	                                     [J]forge.Graphics.draw(Lforge/toolbox/FDisplayObject;)V
  35.09 MB       5.6%	2438	 	                                      [J]forge.toolbox.FContainer.draw(Lforge/Graphics;)V
  35.09 MB       5.6%	2438	 	                                       [J]forge.Graphics.draw(Lforge/toolbox/FDisplayObject;)V
  35.09 MB       5.6%	2438	 	                                        [J]forge.toolbox.FScrollPane.draw(Lforge/Graphics;)V
  35.09 MB       5.6%	2438	 	                                         [J]forge.toolbox.FContainer.draw(Lforge/Graphics;)V
  35.09 MB       5.6%	2438	 	                                          [J]forge.Graphics.draw(Lforge/toolbox/FDisplayObject;)V
  35.09 MB       5.6%	2438	 	                                           [J]forge.itemmanager.views.ImageView$Group.draw(Lforge/Graphics;)V
  35.09 MB       5.6%	2438	 	                                            [J]forge.itemmanager.views.ImageView$Pile.draw(Lforge/Graphics;)V
  35.09 MB       5.6%	2438	 	                                             [J]forge.itemmanager.views.ImageView$ItemInfo.draw(Lforge/Graphics;)V
  34.99 MB       5.6%	2391	 	                                              [j]forge.card.CardRenderer.drawCard(Lforge/Graphics;Lforge/item/IPaperCard;FFFFLforge/card/CardRenderer$CardStackPosition;)V[clinit]
  34.99 MB       5.6%	2391	 	                                               [J]forge.card.CardRenderer.drawCard(Lforge/Graphics;Lforge/item/IPaperCard;FFFFLforge/card/CardRenderer$CardStackPosition;)V
  27.15 MB       4.3%	202	 	                                                [J]forge.CachedCardImage.getImage()Lcom/badlogic/gdx/graphics/Texture;
  27.15 MB       4.3%	202	 	                                                 [J]forge.assets.ImageCache.getImage(Ljava/lang/String;Z)Lcom/badlogic/gdx/graphics/Texture;
  27.15 MB       4.3%	202	 	                                                  [J]forge.assets.ImageCache.getImage(Ljava/lang/String;ZZ)Lcom/badlogic/gdx/graphics/Texture;
  25.84 MB       4.1%	145	 	                                                   [J]forge.assets.ImageCache.loadAsset(Ljava/lang/String;Ljava/io/File;Z)Lcom/badlogic/gdx/graphics/Texture;
  25.84 MB       4.1%	145	 	                                                    [J]forge.assets.Assets$MemoryTrackingAssetManager.finishLoadingAsset(Ljava/lang/String;)Ljava/lang/Object;
  25.84 MB       4.1%	145	 	                                                     [J]com.badlogic.gdx.assets.AssetManager.finishLoadingAsset(Ljava/lang/String;)Ljava/lang/Object;
  25.84 MB       4.1%	145	 	                                                      [j]com.badlogic.gdx.assets.AssetManager.update()Z[synchronized]
  25.84 MB       4.1%	145	 	                                                       [J]com.badlogic.gdx.assets.AssetManager.update()Z
  25.84 MB       4.1%	145	 	                                                        [J]com.badlogic.gdx.assets.AssetManager.updateTask()Z
  25.84 MB       4.1%	145	 	                                                         [J]com.badlogic.gdx.assets.AssetLoadingTask.update()Z
  25.84 MB       4.1%	145	 	                                                          [J]com.badlogic.gdx.assets.AssetLoadingTask.handleAsyncLoader()V
